Name,Description,URL,Language,Updated
react-tetris,"Use React, Redux, Immutable to code Tetris. 🎮",https://api.github.com/repos/chvin/react-tetris,JavaScript,2019-10-27T20:31:47Z
blockrain.js,HTML5 Tetris Game for jQuery,https://api.github.com/repos/Aerolab/blockrain.js,JavaScript,2019-10-12T02:26:51Z
javascript-tetris,A simple javascript tetris game,https://api.github.com/repos/jakesgordon/javascript-tetris,HTML,2019-10-16T19:29:47Z
hextris,Fast paced HTML5 puzzle game inspired by Tetris!,https://api.github.com/repos/Hextris/hextris,JavaScript,2019-10-27T17:07:58Z
tetris_game,A Tetris Game with AI,https://api.github.com/repos/LoveDaisy/tetris_game,Python,2019-10-27T11:07:01Z
canvas-tetris,A 2D tetris game in HTML5 canvas,https://api.github.com/repos/dionyziz/canvas-tetris,JavaScript,2019-10-21T11:20:55Z
tinytetris,80x23 terminal tetris!,https://api.github.com/repos/taylorconor/tinytetris,C++,2019-10-27T02:13:35Z
ARTetris,Augmented Reality Tetris made with ARKit and SceneKit,https://api.github.com/repos/exyte/ARTetris,Swift,2019-10-25T10:08:19Z
mini-tetris,Tetris in 512b,https://api.github.com/repos/veu/mini-tetris,JavaScript,2019-10-26T07:57:46Z
Blockinger,Tetris clone for Android,https://api.github.com/repos/vocollapse/Blockinger,Java,2019-10-22T11:44:22Z
vue-tetris,"Use Vue, Vuex to code Tetris.使用 Vue, Vuex 做俄罗斯方块 ",https://api.github.com/repos/Binaryify/vue-tetris,JavaScript,2019-10-28T06:12:27Z
Tetris,Tetris Project,https://api.github.com/repos/PSNB92/Tetris,Java,2019-09-09T15:36:19Z
swiftris,A Tetris clone made in Swift.,https://api.github.com/repos/Bloc/swiftris,Swift,2019-09-19T09:11:14Z
tetris_mcts,MCTS project for Tetris,https://api.github.com/repos/hrpan/tetris_mcts,Python,2019-10-25T01:15:32Z
Super-Template-Tetris,Tetris as a C++ Template Metaprogram ,https://api.github.com/repos/mattbierner/Super-Template-Tetris,C++,2019-10-28T04:48:13Z
tetros,Tetris that fits into the boot sector.,https://api.github.com/repos/daniel-e/tetros,Assembly,2019-10-18T16:10:08Z
sedtris,Tetris in sed,https://api.github.com/repos/uuner/sedtris,Shell,2019-10-16T07:19:17Z
t3tr0s,30th anniversary tetris in ClojureScript,https://api.github.com/repos/imalooney/t3tr0s,Clojure,2019-10-04T02:21:56Z
termtris,A text-based game inspired by tetris.,https://api.github.com/repos/tylerneylon/termtris,Lua,2019-10-15T15:26:11Z
tetris,A terminal interface for Tetris,https://api.github.com/repos/samtay/tetris,Haskell,2019-10-14T16:06:08Z
yetris,Customizable Tetris(tm) for the terminal.,https://api.github.com/repos/alexdantas/yetris,C++,2019-10-17T01:32:25Z
tetris,Tetris in C and NCURSES.,https://api.github.com/repos/brenns10/tetris,C,2019-09-25T23:56:23Z
cpp,Tetris Game // Generalized Tetris in C++11,https://api.github.com/repos/yongye/cpp,,2019-09-30T07:01:20Z
flutter-tetris,a tetris game powered by flutter. 使用flutter开发俄罗斯方块。,https://api.github.com/repos/boyan01/flutter-tetris,Dart,2019-10-25T15:01:50Z
tetris,"Micro Tetris™, based on the 1989 IOCCC Obfuscated Tetris by John Tromp",https://api.github.com/repos/troglobit/tetris,C,2019-10-08T23:07:45Z
tetris,A hacked together Tetris lacking design completely. Edit: it now has a little design.,https://api.github.com/repos/meth-meth-method/tetris,JavaScript,2019-10-13T11:15:08Z
tetr.js,🕹️ Tetris clone in HTML5 and JavaScript,https://api.github.com/repos/simonlc/tetr.js,JavaScript,2019-10-26T03:22:44Z
Threejs-Tetris,3D Tetris implementation in WebGL,https://api.github.com/repos/fridek/Threejs-Tetris,JavaScript,2018-09-23T08:45:06Z
tetris,Play tetris in your terminal - in color,https://api.github.com/repos/mafintosh/tetris,JavaScript,2019-07-15T17:38:40Z
tdd-tetris-tutorial,Tutorial for learning TDD. You make a Tetris game by writing code to pass the test cases. See README for instructions.,https://api.github.com/repos/luontola/tdd-tetris-tutorial,Java,2019-10-17T02:14:08Z
tetrisai,A Tetris AI written in Javascript,https://api.github.com/repos/LeeYiyuan/tetrisai,JavaScript,2019-10-20T21:13:01Z
Tetris,Html5 Tetris game,https://api.github.com/repos/sandywalker/Tetris,JavaScript,2019-07-23T03:45:48Z
CppTetris,Tetris made within an hour,https://api.github.com/repos/DQNEO/CppTetris,C++,2019-10-17T22:50:41Z
redux-tetris,Simple tetris clone made using React + Redux.,https://api.github.com/repos/slugo/redux-tetris,JavaScript,2019-08-20T11:23:18Z
react-tetris-starter-files,Starter files for the React-Tetris tutorial,https://api.github.com/repos/weibenfalk/react-tetris-starter-files,HTML,2019-10-22T11:08:57Z
tetris,TETRIS for your terminal,https://api.github.com/repos/k0kubun/tetris,Go,2019-09-23T04:30:31Z
t3tr0s-slides,interactive guide to tetris in cljs,https://api.github.com/repos/shaunlebron/t3tr0s-slides,Clojure,2019-08-13T15:49:46Z
Nand2Tetris,"Computer implementation as described in ""The Elements of Computing Systems""",https://api.github.com/repos/havivha/Nand2Tetris,Assembly,2019-10-24T13:01:42Z
Tetris,"On June 6, 2019 Tetris turned 35 years old. To celebrate, I wrote my own version and published it in my GitHub repo. No libraries. No frameworks. Just JavaScript. And no, this is not the best way, nor is it most-optimized version. It's just a simple break down.",https://api.github.com/repos/javascriptteacher/Tetris,HTML,2019-10-20T00:00:59Z
shell,Tetris Game // The Art Of Shell Programming ,https://api.github.com/repos/yongye/shell,,2019-07-31T14:14:27Z
tetris,"Tetris game implemented in languages I used for something more serious than ""Hello world"".",https://api.github.com/repos/kt97679/tetris,Java,2019-09-05T15:20:41Z
tetris,,https://api.github.com/repos/tdd-elevator-training/tetris,Java,2018-07-12T20:11:27Z
DOM-Tetris,A JavaScript implementation of Tetris.,https://api.github.com/repos/daltonridenhour/DOM-Tetris,JavaScript,2019-08-13T14:26:03Z
tetris-on-a-plane,,https://api.github.com/repos/jstimpfle/tetris-on-a-plane,JavaScript,2019-08-24T14:03:54Z
gotris,A classic tetris game written in Go programming language,https://api.github.com/repos/nsf/gotris,Go,2019-06-10T07:20:53Z
tetrys,𝌶 Tetris as Progressive Web Application,https://api.github.com/repos/morkro/tetrys,JavaScript,2019-10-10T03:46:32Z
tetris,A clone of the popular game Tetris.,https://api.github.com/repos/nullobject/tetris,JavaScript,2019-07-15T13:05:33Z
Tetris,Python/Tkinter Tetris,https://api.github.com/repos/bsamek/Tetris,Python,2019-10-12T06:36:07Z
elmtris,A Tetris game for the web browser written in Elm,https://api.github.com/repos/jcollard/elmtris,Elm,2019-08-13T15:28:32Z
iPhone-Tetris,A little iPhone tetris game written with cocos2d,https://api.github.com/repos/joshvera/iPhone-Tetris,Objective-C,2019-08-13T14:28:20Z
tetrasm,Tetris for x86 in NASM,https://api.github.com/repos/programble/tetrasm,Assembly,2019-10-06T19:42:25Z
nand2tetris,计算机系统要素-从零开始构建现代计算机,https://api.github.com/repos/woai3c/nand2tetris,JavaScript,2019-10-25T05:09:27Z
Quick-Tetris,Built a quick version of Tetris.,https://api.github.com/repos/sacert/Quick-Tetris,JavaScript,2019-07-13T21:24:27Z
Tetris-JavaScript,"The Tetris game, created using JavaScript, and The HTML5 canvas.",https://api.github.com/repos/CodeExplainedRepo/Tetris-JavaScript,JavaScript,2019-10-27T21:24:32Z
tiny-tetris,"A Python Tetris implementation that ""fits on a business card"" (20 lines x 80 characters)",https://api.github.com/repos/nickmpaz/tiny-tetris,Python,2019-10-10T20:28:12Z
tetris-unity,A Tetris clone created with Unity.,https://api.github.com/repos/DraphonyGames/tetris-unity,C#,2019-07-05T08:49:17Z
TetrisPlayground,A final project for Advanced Machine Learning. Build bots to play against this Tetris Sandbox!,https://api.github.com/repos/mbrenman/TetrisPlayground,C++,2019-10-03T01:11:11Z
tetris,:space_invader: The original TETRIS game simulator,https://api.github.com/repos/ytiurin/tetris,JavaScript,2019-09-01T22:55:24Z
swiftris,tetris clone for educational purposes,https://api.github.com/repos/jtklier/swiftris,Swift,2019-09-01T18:13:48Z
c,Tetris Game // Generalized Tetris in C,https://api.github.com/repos/yongye/c,,2019-10-10T15:48:44Z
ai_tetris,俄罗斯方块（C++）,https://api.github.com/repos/hinesboy/ai_tetris,C++,2019-10-15T14:07:05Z
gotetris,This is a console-based version of Tetris written in Go,https://api.github.com/repos/jjinux/gotetris,Go,2019-10-16T00:26:10Z
pockeTETRIS,Compact Tetris clone,https://api.github.com/repos/dombeef/pockeTETRIS,Arduino,2019-04-21T12:43:35Z
panel-attack,Tetris Attack/Panel de Pon clone in lua with LOVE,https://api.github.com/repos/sharpobject/panel-attack,Lua,2019-08-30T22:10:21Z
JS-Tetris,Javascript-based Tetris game,https://api.github.com/repos/andysterks/JS-Tetris,JavaScript,2019-06-28T18:11:18Z
tetris-light,Ultra light tetris game in HTML5.,https://api.github.com/repos/michowski/tetris-light,HTML,2018-05-01T05:05:24Z
Tetris,"俄罗斯方块, unity, MVC, DOTween",https://api.github.com/repos/jingangxin36/Tetris,C#,2019-10-24T00:47:34Z
tetris,A simple tetris clone written in zig programming language.,https://api.github.com/repos/andrewrk/tetris,C,2019-10-24T18:21:10Z
Tetris-Swing,Swing编写的俄罗斯方块,https://api.github.com/repos/HelloClyde/Tetris-Swing,Java,2019-10-25T13:08:33Z
ASCII-Tetris,ASCII Tetris game written in C,https://api.github.com/repos/Gregwar/ASCII-Tetris,C,2019-09-10T12:00:52Z
terminally-tetris,"It’s everything you could want from a 1984 Russian-made video game, but now without leaving the comfort of your favorite shell!",https://api.github.com/repos/thecardkid/terminally-tetris,C,2019-07-02T11:58:57Z
tetris,c++ terminal tetris game. 俄罗丝方块，c++版,https://api.github.com/repos/fanux/tetris,C++,2019-10-13T15:23:29Z
tetris-tutorial,From rags to riches; building Tetris with no programming experience.,https://api.github.com/repos/jonhoo/tetris-tutorial,JavaScript,2019-08-01T21:30:47Z
tetris,An almost complete tetris,https://api.github.com/repos/djblue/tetris,Clojure,2019-10-26T07:23:57Z
JavaFX-Tetris-Clone,JavaFX Tetris game clone written in Java 8,https://api.github.com/repos/javafx-dev/JavaFX-Tetris-Clone,Java,2019-10-12T10:56:44Z
HTML5-Tetris,A HTML5 Tetris Implementation,https://api.github.com/repos/infusion/HTML5-Tetris,JavaScript,2018-10-18T21:43:07Z
MaTris,A clone of Tetris made using pygame,https://api.github.com/repos/Uglemat/MaTris,Python,2019-09-27T11:43:04Z
How_to_make_an_evolutionary_tetris_bot,"This is the code for the ""How to Make an Evolutionary Tetris Bot"" by Siraj Raval on Youtube",https://api.github.com/repos/llSourcell/How_to_make_an_evolutionary_tetris_bot,JavaScript,2019-10-03T01:07:12Z
vitetris,Classic multiplayer tetris for the terminal,https://api.github.com/repos/vicgeralds/vitetris,C,2019-10-19T14:48:25Z
wasm-tetris,Wasm Tetris,https://api.github.com/repos/xuu/wasm-tetris,Rust,2019-09-08T08:20:53Z
eltetris,Tetris AI,https://api.github.com/repos/ielashi/eltetris,JavaScript,2019-07-26T02:53:23Z
tetris.c64,Tetris in 6502 for the Commodore 64,https://api.github.com/repos/wiebow/tetris.c64,Assembly,2019-08-13T16:03:34Z
flutter-tetris,基于Flutter的俄罗斯方块小游戏,https://api.github.com/repos/yubo725/flutter-tetris,Dart,2019-10-19T16:04:37Z
PYTRIS,tetris made with pygame,https://api.github.com/repos/k0626089/PYTRIS,Python,2019-08-03T05:49:40Z
go,Tetris Game // Generalized Tetris in Golang,https://api.github.com/repos/yongye/go,,2019-07-31T14:15:08Z
Nand2Tetris,All projects for Nand2Teris,https://api.github.com/repos/xctom/Nand2Tetris,Assembly,2019-10-23T06:41:05Z
vue-tetris,Vue Tetris 🏰,https://api.github.com/repos/Elevista/vue-tetris,Vue,2019-10-23T05:24:36Z
react-native-tetris,A pure javascript game written on react-native framework. Brings the childhood memories back!,https://api.github.com/repos/ggomaeng/react-native-tetris,JavaScript,2019-10-24T16:48:35Z
yafpgatetris,Yet Another Tetris on FPGA Implementation,https://api.github.com/repos/johan92/yafpgatetris,Verilog,2019-09-22T02:00:53Z
TetrisAnimation,Library to draw numbers on a LED matrix in a tetris style,https://api.github.com/repos/toblum/TetrisAnimation,C++,2019-10-20T19:38:04Z
haskell-tetris,Tetris game written in Haskell using ncurses,https://api.github.com/repos/hauxir/haskell-tetris,Haskell,2019-10-10T11:29:33Z
react-tetris,:video_game: by popular demand,https://api.github.com/repos/brandly/react-tetris,JavaScript,2019-08-15T07:15:54Z
Terminal-Tetris,Terminal based Tetris game written in python,https://api.github.com/repos/ravi-ojha/Terminal-Tetris,Python,2019-10-06T18:42:07Z
UnityTetris,Tetris clone written in C# and using Unity engine to render.,https://api.github.com/repos/Mukarillo/UnityTetris,C#,2019-10-18T09:10:39Z
Tetris,俄罗斯方块小游戏Swift实现,https://api.github.com/repos/geniusZhangXu/Tetris,Swift,2018-01-12T13:35:21Z
tis,An embeddable Tetris clone without dependencies in 4 kB of JavaScript,https://api.github.com/repos/ttencate/tis,JavaScript,2019-10-17T00:57:22Z
Tetris-Game,The game of Tetris. Made with pygame.,https://api.github.com/repos/techwithtim/Tetris-Game,Python,2019-08-08T06:38:06Z
Tetris,"俄罗斯方块游戏；基于VC/C命令行窗口，彩色界面，完整的俄罗斯方块实现。(大学课程作业）(Tetris, base on Windows VC&C Command Window)",https://api.github.com/repos/yestab123/Tetris,C,2019-07-20T02:47:20Z
tetrisRL,A Tetris environment to train machine learning agents,https://api.github.com/repos/jaybutera/tetrisRL,Python,2019-10-09T15:15:55Z
tetris-sdl-c,🕹️ A toy project implementing a simple tetris clone in C for learning SDL 2.x.,https://api.github.com/repos/dashed/tetris-sdl-c,C,2019-10-19T07:10:35Z
tetris,:memo: Disassembly of Tetris for Game Boy.,https://api.github.com/repos/osnr/tetris,Assembly,2019-10-18T18:48:25Z
Tetris-Duel,Multiplayer Tetris for Raspberry Pi (in bare metal assembly),https://api.github.com/repos/Tetris-Duel-Team/Tetris-Duel,Assembly,2019-06-19T06:42:50Z
tetranglix,A bootable 512-byte Tetris clone.,https://api.github.com/repos/shikhin/tetranglix,Assembly,2019-09-16T23:27:48Z
Swiftris,Swift version Tetris game.,https://api.github.com/repos/hiddenviewer/Swiftris,Swift,2019-10-20T18:32:18Z
bare-metal-tetris,Tetris for x86 in bad C. Succeeded by Tetrasm.,https://api.github.com/repos/programble/bare-metal-tetris,C,2019-08-29T04:14:17Z
flatris,Fast-paced two-player web game,https://api.github.com/repos/skidding/flatris,JavaScript,2019-10-24T16:46:04Z
hatetris,Tetris which always gives you the worst piece,https://api.github.com/repos/qntm/hatetris,JavaScript,2019-10-28T02:10:57Z
github-games,It's Tetris!,https://api.github.com/repos/opsgilityschool/github-games,HTML,2018-02-06T15:26:46Z
clj-tetris,Example Tetris in Clojure,https://api.github.com/repos/yogthos/clj-tetris,Clojure,2019-08-24T04:17:08Z
QtTetris,A tetris game written in Qt,https://api.github.com/repos/tashaxing/QtTetris,C++,2019-10-07T06:14:04Z
tetris,俄罗斯方块,https://api.github.com/repos/zquancai/tetris,JavaScript,2019-07-23T08:53:26Z
tetris,Java implementation of Tetris,https://api.github.com/repos/IanEsling/tetris,Java,2019-09-05T15:40:39Z
tetris,"Awesome Tetris in all kinds of Languages(C, C++, Go, Shell)",https://api.github.com/repos/deepgrace/tetris,C,2019-10-12T20:18:26Z
tetris,Just another Tetris™ clone,https://api.github.com/repos/spypunk/tetris,Java,2019-09-05T11:39:33Z
Tiny-Tetris,Tetris Clone with OLED SSD1306(I2C) for Arduino Nano / Uno,https://api.github.com/repos/AJRussell/Tiny-Tetris,Arduino,2019-09-03T08:04:23Z
c-sharp-tetris,Just simple tetris game written on C#,https://api.github.com/repos/BobNobrain/c-sharp-tetris,C#,2019-10-10T07:53:18Z
ngTetris,Use AngularJS to build a simple Tetris game.,https://api.github.com/repos/daihuaye/ngTetris,JavaScript,2019-10-24T17:01:00Z
tetris-ai,A deep reinforcement learning bot that plays tetris,https://api.github.com/repos/nuno-faria/tetris-ai,Python,2019-10-09T10:32:56Z
Tetris,俄罗斯方块，Java大作业,https://api.github.com/repos/xilingyuli/Tetris,Java,2019-10-01T07:50:18Z
tetris,,https://api.github.com/repos/timothypratley/tetris,Clojure,2019-05-31T08:17:01Z
Bash-Games,"LINUX终端下的贪吃蛇(Snake), 屏保(ClockSaver), 俄罗斯方块(Tetris)游戏(使用Bash shell编写)",https://api.github.com/repos/liungkejin/Bash-Games,Shell,2019-10-16T06:09:26Z
rusty-tetris,A Tetris clone written in Rust,https://api.github.com/repos/bachm/rusty-tetris,Rust,2019-09-30T06:19:38Z
WiFi-Tetris-Clock,A WiFi clock made of falling tetris blocks. For the ESP8266 or ESP32,https://api.github.com/repos/witnessmenow/WiFi-Tetris-Clock,C++,2019-10-18T06:21:21Z
